Date,Open,High,Low,Close,Adj Close,Volume
2010-03-01,5.785714,5.900000,5.720000,5.874286,3.688061,24100
2010-03-02,5.894286,6.151429,5.894286,6.140000,3.854885,41300
2010-03-03,6.131429,6.262857,6.011428,6.111429,3.836948,23800
2010-03-04,6.122857,6.122857,5.937143,6.008572,3.772371,21700
2010-03-05,6.000000,6.065714,5.957143,6.025714,3.783134,17100
2010-03-08,6.048572,6.182857,6.028572,6.182857,3.881793,36400
2010-03-09,6.311429,6.448571,6.311429,6.357143,3.991214,22000
2010-03-10,6.320000,6.365714,6.188571,6.365714,4.119725,97300
2010-03-11,6.365714,6.620000,6.365714,6.620000,4.284292,11200
2010-03-12,6.571429,7.017143,6.571429,6.891428,4.459954,21000
2010-03-15,6.914286,6.968572,6.848571,6.951428,4.498784,4900
2010-03-16,6.931428,6.965714,6.877143,6.880000,4.452557,13300
2010-03-17,6.905715,6.971428,6.577143,6.971428,4.511727,15400
2010-03-18,6.951428,6.977143,6.800000,6.857143,4.437764,15000
2010-03-19,6.831429,6.971428,6.808571,6.837143,4.424821,24100
2010-03-22,6.834286,7.028572,6.834286,7.028572,4.548708,17500
2010-03-23,7.014286,7.142857,7.002857,7.142857,4.622670,9100
2010-03-24,6.971428,7.214286,6.971428,7.185714,4.650407,14700
2010-03-25,7.197143,7.402857,7.002857,7.105714,4.598633,60900
2010-03-26,7.114286,7.174286,6.942857,7.071429,4.576445,24100
2010-03-29,7.228571,7.342857,6.985714,7.125714,4.611577,77300
2010-03-30,7.000000,7.214286,7.000000,7.202857,4.661501,4200
2010-03-31,7.171429,7.254286,7.077143,7.234286,4.681841,22000
2010-04-01,7.225714,7.225714,6.825714,7.082857,4.583840,27600
2010-04-05,7.108572,7.277143,6.928571,7.254286,4.694785,19900
2010-04-06,7.228571,7.285714,7.228571,7.245714,4.689237,3800
2010-04-07,7.217143,7.285714,7.162857,7.214286,4.668898,9100
2010-04-08,7.148571,7.225714,7.057143,7.225714,4.676294,10800
2010-04-09,7.128572,7.240000,7.128572,7.231429,4.679992,6300
2010-04-12,7.142857,7.185714,7.082857,7.174286,4.643011,14700
2010-04-13,7.280000,7.428571,7.048572,7.051429,4.563501,37800
2010-04-14,6.928571,7.191429,6.928571,7.142857,4.622670,24500
2010-04-15,6.985714,7.614286,6.985714,7.428571,4.807579,88200
2010-04-16,7.411428,7.428571,7.262857,7.388571,4.781691,36400
2010-04-19,7.271429,7.665714,7.200000,7.488572,4.846408,36700
2010-04-20,7.371428,7.528572,7.308571,7.434286,4.811275,44100
2010-04-21,7.437143,7.620000,7.342857,7.534286,4.875993,155700
2010-04-22,7.440000,7.440000,7.422857,7.428571,4.807579,37100
2010-04-23,7.431428,7.508572,7.371428,7.508572,4.859352,7300
2010-04-26,7.491428,7.742857,7.491428,7.711429,4.990635,44800
2010-04-27,7.780000,7.785714,7.497143,7.500000,4.853805,14300
2010-04-28,7.560000,7.560000,7.508572,7.548572,4.885239,2400
2010-04-29,7.414286,7.617143,7.405715,7.562857,4.894485,30100
2010-04-30,7.394286,7.422857,7.380000,7.397143,4.787238,10800
2010-05-03,7.342857,7.514286,7.214286,7.511428,4.861201,26600
2010-05-04,7.471428,7.571429,7.385714,7.474286,4.837163,32200
2010-05-05,7.602857,7.857143,7.602857,7.751429,5.016523,60900
2010-05-06,7.742857,7.754286,7.622857,7.622857,4.933314,13600
2010-05-07,7.665714,7.700000,7.477143,7.594285,4.914824,8700
2010-05-10,7.700000,7.757143,7.651429,7.757143,5.020220,20600
2010-05-11,7.785714,7.785714,7.702857,7.760000,5.022070,9400
2010-05-12,7.700000,7.760000,7.685714,7.742857,5.010976,22700
2010-05-13,7.702857,7.702857,7.591429,7.677143,4.968446,3800
2010-05-14,7.711429,7.711429,7.508572,7.508572,4.859352,47600
2010-05-17,7.442857,7.442857,7.391428,7.394286,4.785389,101500
2010-05-18,7.337143,7.385714,7.337143,7.357143,4.761351,5600
2010-05-19,7.285714,7.325714,7.022857,7.045714,4.559803,32500
2010-05-20,7.002857,7.142857,7.002857,7.031428,4.550559,63300
2010-05-21,6.982857,7.117143,6.951428,7.108572,4.600482,73800
2010-05-24,7.057143,7.057143,6.908571,6.908571,4.471047,23800
2010-05-25,6.857143,6.917143,6.785714,6.802857,4.402632,18200
2010-05-26,7.137143,7.137143,6.965714,6.980000,4.517274,93100
2010-05-27,7.097143,7.125714,7.002857,7.060000,4.569048,29700
2010-05-28,6.817143,6.882857,6.817143,6.857143,4.437764,19900
2010-06-01,6.848571,6.857143,6.680000,6.722857,4.350859,59100
2010-06-02,6.734286,7.228571,6.734286,7.091429,4.722866,18500
2010-06-03,7.137143,7.137143,7.025714,7.031428,4.682904,12900
2010-06-04,7.000000,7.097143,6.917143,6.917143,4.606791,14000
2010-06-07,6.774286,6.905715,6.745714,6.762857,4.504036,13600
2010-06-08,6.560000,6.631429,6.522857,6.594285,4.391769,6300
2010-06-09,6.642857,6.694286,6.628572,6.694286,4.458370,7700
2010-06-10,6.622857,6.688571,6.580000,6.657143,4.433631,26600
2010-06-11,6.785714,6.785714,6.594285,6.640000,4.422215,11900
2010-06-14,6.528572,6.648571,6.528572,6.540000,4.355616,22000
2010-06-15,6.591429,6.728571,6.457143,6.505714,4.332781,41600
2010-06-16,6.308571,6.471428,6.308571,6.468572,4.308043,40200
2010-06-17,6.468572,6.568572,6.468572,6.568572,4.374643,9800
2010-06-18,6.557143,6.594285,6.511428,6.511428,4.336587,21300
2010-06-21,6.685714,6.685714,6.374286,6.374286,4.245249,19900
2010-06-22,6.374286,6.477143,6.128572,6.128572,4.081606,40200
2010-06-23,6.142857,6.325714,6.142857,6.325714,4.212901,43700
2010-06-24,6.165714,6.374286,6.165714,6.265714,4.172941,74200
2010-06-25,6.428571,6.942857,6.245714,6.748571,4.494524,139600
2010-06-28,6.702857,7.420000,6.674286,6.900000,4.595374,86800
2010-06-29,6.834286,6.894286,6.805714,6.860000,4.568734,112700
2010-06-30,6.862857,6.888571,6.854286,6.888571,4.587763,84700
2010-07-01,6.874286,6.874286,6.628572,6.751429,4.496426,48600
2010-07-02,6.671429,6.802857,6.662857,6.688571,4.454562,35300
2010-07-06,6.760000,6.762857,6.731429,6.742857,4.490716,21700
2010-07-07,6.814286,6.822857,6.662857,6.771429,4.509746,31800
2010-07-08,6.797143,6.842857,6.722857,6.765714,4.505940,36400
2010-07-09,6.622857,6.702857,6.622857,6.694286,4.458370,28700
2010-07-12,6.722857,6.722857,6.662857,6.662857,4.437438,4500
2010-07-13,6.780000,6.780000,6.565714,6.614286,4.405090,42700
2010-07-14,6.600000,6.608572,6.548572,6.580000,4.382256,6600
2010-07-15,6.571429,6.585714,6.531428,6.542857,4.357518,12200
2010-07-16,6.494286,6.571429,6.485714,6.488572,4.321364,26900
2010-07-19,6.485714,6.580000,6.428571,6.554286,4.365129,30400
2010-07-20,6.574286,6.574286,6.448571,6.471428,4.309947,29000
2010-07-21,6.474286,6.494286,6.428571,6.428571,4.281404,11900
2010-07-22,6.494286,6.571429,6.368571,6.542857,4.357518,24500
2010-07-23,6.611429,6.682857,6.505714,6.680000,4.448855,10800
2010-07-26,6.717143,6.848571,6.637143,6.848571,4.561121,51100
2010-07-27,6.848571,6.905715,6.842857,6.871428,4.576345,38800
2010-07-28,6.851429,6.957143,6.814286,6.862857,4.570637,30400
2010-07-29,6.854286,6.962857,6.851429,6.962857,4.637237,11900
2010-07-30,6.837143,7.185714,6.802857,7.102857,4.730476,46200
2010-08-02,7.102857,7.142857,7.025714,7.085714,4.719059,38800
2010-08-03,7.051429,7.211429,6.948571,7.145714,4.759018,14700
2010-08-04,6.948571,7.051429,6.874286,7.051429,4.696225,15400
2010-08-05,7.022857,7.102857,7.022857,7.051429,4.696225,12900
2010-08-06,7.022857,7.028572,6.931428,7.020000,4.675293,4200
2010-08-09,7.008572,7.085714,7.008572,7.085714,4.719059,3100
2010-08-10,6.905715,7.148571,6.797143,6.925714,4.612500,20600
2010-08-11,6.882857,6.882857,6.717143,6.717143,4.473592,15400
2010-08-12,6.694286,6.771429,6.637143,6.665714,4.439341,5900
2010-08-13,6.657143,6.671429,6.597143,6.597143,4.393672,10800
2010-08-16,6.571429,6.571429,6.305714,6.445714,4.292822,113700
2010-08-17,6.505714,6.722857,6.414286,6.705714,4.465980,64400
2010-08-18,6.634286,6.688571,6.608572,6.668571,4.441243,21700
2010-08-19,6.662857,6.682857,6.614286,6.614286,4.405090,14700
2010-08-20,6.591429,6.645714,6.497143,6.557143,4.367033,12200
2010-08-23,6.571429,6.628572,6.514286,6.528572,4.348004,9400
2010-08-24,6.774286,6.774286,6.425714,6.425714,4.279501,11200
2010-08-25,6.431428,6.545714,6.362857,6.545714,4.359421,8400
2010-08-26,6.714286,6.714286,6.571429,6.620000,4.408895,12900
2010-08-27,6.657143,6.934286,6.657143,6.934286,4.618207,19200
2010-08-30,6.914286,6.937143,6.885714,6.885714,4.585860,9400
2010-08-31,6.917143,7.185714,6.911428,7.185714,4.785658,18500
2010-09-01,7.211429,7.485714,7.202857,7.485714,5.120860,38500
2010-09-02,7.445714,7.542857,7.400000,7.542857,5.159950,15700
2010-09-03,7.542857,7.542857,7.322857,7.471428,5.111087,5200
2010-09-07,7.420000,7.542857,7.420000,7.437143,5.087633,8000
2010-09-08,7.445714,7.465714,7.342857,7.388571,5.054407,16800
2010-09-09,7.342857,7.342857,7.148571,7.214286,4.935179,15700
